IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
3246466.8,0.0,0.8,E,11.0,2.0,49.0,50.0,B12,Diesel,8549.0,R11
5174492.5,0.0,0.3,C,5.0,10.0,50.0,50.0,B1,Diesel,219.7297,R22
3036442.5,0.0,1.0,A,7.0,15.0,62.0,50.0,B5,Diesel,39.042366,R82
2011719.9,0.0,1.0,B,6.0,14.0,40.0,54.0,B2,Regular,84.0,R73
2060789.9,0.0,0.1,E,7.0,12.0,52.0,52.0,B3,Regular,3744.0,R72
2285926.2,0.0,0.08,B,4.0,15.0,52.0,50.0,B2,Regular,65.72434,R82
3133058.5,0.0,0.08,D,5.0,4.0,22.0,72.0,B3,Regular,891.6717,R52
4028799.2,1.0,1.0,D,4.0,3.0,57.0,90.0,B12,Regular,746.2547,R91
2281866.5,0.0,0.37,C,4.0,16.0,30.0,80.0,B1,Regular,182.0,R24
2185642.0,1.0,0.45,A,5.0,13.0,54.0,50.0,B2,Regular,24.742685,R53
2121312.2,0.0,0.49,D,7.0,15.0,38.0,64.0,B1,Regular,832.83435,R82
1074942.0,0.0,0.49,F,10.0,4.0,51.0,50.0,B1,Regular,27000.0,R11
2067320.0,0.0,1.0,C,7.0,5.0,39.0,50.0,B1,Regular,174.04778,R41
6098808.0,0.0,0.39,B,7.0,5.0,71.0,76.0,B12,Diesel,58.0,R73
2197016.2,0.0,0.03,E,5.0,15.0,61.0,50.0,B3,Diesel,2735.231,R52
2088156.9,0.0,1.0,C,4.0,3.0,37.0,50.0,B2,Regular,132.26544,R25
2065738.4,0.0,0.89,D,4.0,15.0,29.0,50.0,B1,Regular,671.70416,R24
3153437.2,0.0,1.0,D,5.0,12.0,39.0,50.0,B2,Regular,520.9296,R24
4080045.2,0.0,0.1955715,C,14.0,0.0,44.0,50.0,B12,Diesel,179.23352,R24
3242362.0,0.0,0.28,E,4.0,2.0,46.0,54.0,B12,Diesel,3744.0,R41
3115708.5,0.0,1.0,E,6.0,11.0,50.0,50.0,B1,Regular,5449.0,R11
